,Born,Birth place,Died,Place of Death,Notable Works,Subjects Of Study,Philosophers
0,1856,Ukraine,1922,Palestine,,"Agriculture, Zionism",Aaron David Gordon
1,1907,Poland,1972,York,,"Judaism, Philosophy Of Religion",Abraham Joshua Heschel
2,1316,Germany,1390,Germany,,Gravity,Albert of Saxony
3,1463,Italy,1512,Bologna,,William Of Ockham,Alessandro Achillini
4,1714,Germany,1762,Germany,,"Aesthetics, Gottfried Wilhelm Leibniz, Feeling, Christian, Baron Von Wolff",Alexander Gottlieb Baumgarten
5,1853,Ukraine,1920,Austria,,"Objectivism, Intentionality",Alexius Meinong
6,1857,France,1940,France,,"Philosophy Of Religion, Modernism",Alfred Firmin Loisy
7,1879,Poland,1950,Connecticut,,"Semantics, General Semantics",Alfred Korzybski
8,1861,England,1947,Massachusetts,“Principia Mathematica”,"Education, Mathematics, Philosophy Of Science, Formal Logic, Materialism",Alfred North Whitehead
9,1930,Indiana,1992,Illinois,“The Closing Of The American Mind: How Higher Education Has Failed Democracy And Impoverished The Souls Of Today’S Students”,Higher Education,Allan Bloom
10,500,Clazomenae,428,Lampsacus,,"Eclipse, Cosmology, Nous",Anaxagoras
11,475,Italy,524,Italy,,"Aristotelianism, Universal, Trinity, Porphyry, Free Will",Anicius Manlius Severinus Boethius
12,1843,Sicilies,1904,Italy,,"Socialism, Historical Materialism",Antonio Labriola
13,1797,Italy,1855,Italy,,Philosophy Of Religion,Antonio Rosmini-Serbati
14,1923,England,2010,England,"“There Is A God: How The World’S Most Notorious Atheist Changed His Mind”, “Atheistic Humanism”, “God And Philosophy”","Atheism, Philosophy Of Religion, Theology",Antony Flew
15,384,Greece,322,Greece,"“On The Heavens”, “On Interpretation”, “Ode To Virtue”, “Prior Analytics”, “Organon”, “Politics”, “Posterior Analytics”, “Metaphysica”, “On Generation And Corruption”, “On The Soul”","Biology, Rhetoric, Aristotelianism, Zoology, Universal",Aristotle
16,1878,Italy,1959,Italy,,Phenomenon,Armando Carlini
17,1873,Germany,1962,Maryland,,Great Chain Of Being,Arthur O. Lovejoy
18,1788,Poland,1860,Germany,,"Philosophy Of Art, Panpsychism",Arthur Schopenhauer
19,1882,England,1944,England,"“Fundamental Theory”, “Stellar Movements And The Structure Of The Universe”, “Stars And Atoms”, “Relativity Theory Of Protons And Electrons”, “The Mathematical Theory Of Relativity”, “The Expanding Universe”, “Internal Constitution Of The Stars”, “Science And The Unseen World”","Star, Relativity, Globular Cluster, Physical Constant, Special Relativity",Arthur Stanley Eddington
20,80,India,150,Pakistan,"“Mahayana-Shraddhotpada-Shastra”, “Buddhacarita”",Mahayana,Ashvaghosha
21,1798,France,1857,France,,"Sociology, Social Evolution",Auguste Comte
22,1126,Spain,1198,Marrakech,,"Islam, Platonism, Aristotelianism, Greek Philosophy",Averroes
23,980,Uzbekistan,1037,Iran,"“Kitāb Al-Shifāʾ”, “The Canon Of Medicine”","Islam, History Of Medicine, Aristotelianism, Greek Philosophy",Avicenna
24,1528,Spain,1580,Spain,,"Casuistry, Probabilism",Bartolome de Medina
25,1866,Italy,1952,Italy,,"Political Philosophy, Philosophy Of History, Spiritualism",Benedetto Croce
26,1632,Netherlands,1677,Netherlands,,"Pantheism, Mind-Body Dualism",Benedict de Spinoza
27,1848,England,1923,England,,"Ethics, Metaphysics, Aesthetics, Political Philosophy, Logic",Bernard Bosanquet
28,1670,Netherlands,1733,England,,Virtue,Bernard de Mandeville
29,1872,Wales,1970,Wales,“Principia Mathematica”,"Formal Logic, Nuclear Weapon, Russell’S Paradox, Disarmament, Axiomatic Method",Bertrand Russell
30,1403,Turkey,1472,Italy,“In Calumniatorem Platonis”,"Greek Literature, Platonism",Bessarion
31,570,India,651,India,“Vakyapadiya”,"Philosophy Of Language, Shabdadvaita",Bhartrihari
32,1623,France,1662,France,"“Les Provinciales”, “Essai Pour Les Coniques”, “Traité Du Triangle Arithmétique”, “Pensées”, “The Physical Treatises Of Pascal”","Probability, Conic Section, Pascal’S Triangle, Cycloid, Pascal’S Principle",Blaise Pascal
33,1266,Scotland,1308,Germany,,"Scholasticism, Realism, Incarnation, Immaculate Conception, Divine Union",Blessed John Duns Scotus
34,1905,Germany,1997,Jersey,,"Philosophy Of Science, Scientific Theory, Covering-Law Model",Carl Gustav Hempel
35,1839,Massachusetts,1914,Pennsylvania,,"Category, Induction, Abduction",Charles Sanders Peirce
36,1032,China,1085,China,,"Li, Neo-Confucianism",Cheng Hao
37,1033,China,1107,China,,"Li, Neo-Confucianism, Lixue",Cheng Yi
38,1715,France,1771,France,,Education,Claude-Adrien Helvetius
39,551,China,479,China,,"Ren, Junzi, Xiao, Li, “Shijing”",Confucius
40,1808,Germany,1874,Germany,,"Rationalism, Religion, Dialectic",David Friedrich Strauss
41,1705,England,1757,England,,Associationism,David Hartley
